Thaat Name,Notation
,
Bilawal Thaat,S R G M P D N S (C D E F G A B C)
Kalyan Thaat,S R G M# P D N S (C D E F# G A B C)
Khamaj Thaat,S R G M P D n S (C D E F G A B? C)
Bhairav Thaat,S r G M P d N S (C D? E F G A? B C)
Poorvi Thaat,S r G M# P d N S (C D? E F# G A? B C)
Marwa Thaat,S r G M# P D N S (C D? E F# G A B C)
Kafi Thaat,S R g M P D n S (C D E? F G A B? C)
Asavari Thaat,S R g M P d n S (C D E? F G A? B? C)
Todi Thaat,S r g M# P d N S (C D? E? F# G A? B C)
Bhairavi Thaat, S r g M P d n S (C D? E? F G A? B? C)
